si_code,lati,long,PET
SWE_NOR_ST4_AFT,60.083,17.476,559.2061538793121
SWE_NOR_ST4_BEF,60.083,17.476,559.2061538793121
SWE_NOR_ST5_REF,60.083,17.476,559.2061538793121
SWE_SKO_MIN,58.3639,12.1498,555.7718760275027
SWE_SKY_38Y,60.129,17.835,552.4100262409227
SWE_SKY_68Y,60.096,17.826,553.9954280474689
SWE_SVA_MIX_NON,64.25609694,19.77451111,487.6493107334851
THA_KHU,15.273,103.081,1736.4326235177136
USA_BNZ_BLA,64.696393,-148.323443,558.8048390152385
USA_CHE_ASP,45.937,-90.267,818.0483310730372
USA_CHE_MAP,45.948,-90.26,817.403464450298
USA_DUK_HAR,36.978175,-79.09419083333333,1228.4019653591017
USA_HIL_HF1_POS,36.2173212,-78.864178648,1254.8332880490245
USA_HIL_HF1_PRE,36.2173212,-78.864178648,1254.8332880490245
USA_HIL_HF2,36.217476608,-78.863993733,1254.6640040359152
USA_HUY_LIN_NON,42.5275305555556,-74.1572027777778,866.8623701945339
USA_INM,39.323228,-86.413239,1084.732235672786
USA_MOR_SF,39.323011,-86.413321,1084.6529117095613
USA_NWH,34.578889,-91.256389,1292.9909375369393
USA_ORN_ST1_AMB,35.9,-84.333,1258.0406489408829
USA_ORN_ST2_AMB,35.9,-84.333,1258.0406489408829
USA_ORN_ST3_ELE,35.9,-84.333,1258.0406489408829
USA_ORN_ST4_ELE,35.9,-84.333,1258.0406489408829
USA_PAR_FER,35.8031111111111,-76.6679166666667,1266.4405750878527
USA_PER_PER,30.20611,-83.87,1509.3089102517883
USA_PJS_P04_AMB,34.38638888888889,-106.529444444444,1347.3054211306537
USA_PJS_P08_AMB,34.38638888888889,-106.529444444444,1347.3054211306537
USA_PJS_P12_AMB,34.38638888888889,-106.529444444444,1347.3054211306537
USA_SIL_OAK_1PR,39.91563055555555,-74.59555555555555,1065.9999999999998
USA_SIL_OAK_2PR,39.91563055555555,-74.59555555555555,1065.9999999999998
USA_SIL_OAK_POS,39.91563055555555,-74.59555555555555,1065.9999999999998
USA_SMI_SCB,38.8935,-78.1454,1107.1224411821277
USA_SMI_SER,38.889,-76.559,1094.2508183713571
USA_SWH,34.108889,-91.125278,1319.3022451753404
USA_SYL_HL1,46.2420166666667,-89.34765,824
USA_SYL_HL2,46.2420166666667,-89.34765,824
USA_TNB,36.471197,-84.704072,1182.1810738650358
USA_TNO,35.966,-84.281866,1230.2360179527209
USA_TNP,35.96041,-84.287933,1231.3518073883067
USA_TNY,35.687635,-83.501202,1206.0483699565657
USA_UMB_CON,45.5597222222222,-84.7133333333333,847.9664014306511
USA_UMB_GIR,45.5625,-84.6975,847.2023133427309
USA_WIL_WC1,45.8130555555556,-90.0866666666667,821.284324024402
USA_WIL_WC2,45.8130555555556,-90.0866666666667,821.284324024402
USA_WVF,39.058867,-79.690668,1022.0450011441368
UZB_YAN_DIS,41.65193055555555,60.620666666666665,1227.7210934583745
ZAF_FRA_FRA,-33.884334,19.060978,1347.5252596638156
ZAF_NOO_E3_IRR,-33.20099166666667,19.337516666666666,1263.554185304845
ZAF_RAD,-34.08,19.108,1186.3027571127964
ZAF_SOU_SOU,-34.087,19.0933,1178.1279588752348
ZAF_WEL_SOR,-33.48173889,18.95601667,1430.2852565803007
