,Study,Method,Species,Calibration material,Wood porosity,Diameter (cm)
66,"Montague $et\;\, al.$ 2006",TD,"$Liquidambar\;\,styraciflua$",whole plant,Diffuse porous,5.3
67,"Montague $et\;\, al.$ 2006",TD,"$Populus\;\,deltoides$",whole plant,Diffuse porous,5.6
68,"Montague $et\;\, al.$ 2006",TD,"$Pyrus\;\,calleryana$",whole plant,Diffuse porous,6.6
69,"Montague $et\;\, al.$ 2006",TD,"$Quercus\;\,robur\;\,x\;\,Q.\;\,Bicolor$",whole plant,Ring porous,5.7
70,"Nadezhdina $et\;\, al.$ 1998",HFD,"$Tilia\;\,cordata$",without roots,Diffuse porous,12
71,"Nortes $et\;\, al.$ 2009",CHP,"$Prunus\;\,dulcis$",whole plant,Diffuse porous,15
72,"Paudel $et\;\, al.$ 2013",TD,"$Malus\;\,domestica$",stem segment,Diffuse porous,4.01
73,"Paudel $et\;\, al.$ 2013",TD,"$Peltophorum\;\,dubium$",stem segment,Diffuse porous,3.7
74,"Paudel $et\;\, al.$ 2013",TD,"$Prunus\;\,persica$",stem segment,Diffuse porous,4
75,"Paudel $et\;\, al.$ 2013",TTD,"$Malus\;\,domestica$",stem segment,Diffuse porous,4.01
76,"Paudel $et\;\, al.$ 2013",TTD,"$Peltophorum\;\,dubium$",stem segment,Diffuse porous,3.7
77,"Paudel $et\;\, al.$ 2013",TTD,"$Prunus\;\,persica$",stem segment,Diffuse porous,4
78,"Peters $et\;\, al.$ 2017",TD,"$Larix\;\,decidua$",stem segment,Tracheids,16.5
79,"Peters $et\;\, al.$ 2017",TD,"$Picea\;\,abies$",stem segment,Tracheids,15.9
80,"Prendergast $et\;\, al.$ 2007",T-max,"$Actinidia\;\,chinensis$",stem segment,Diffuse porous,9.5
81,"Shackel $et\;\, al.$ 1992",SHB,"$Prunus\;\,persica$",whole plant,Diffuse porous,6.25
82,"Smith $et\;\, al.$ 1995",CHP,"$Acacia\;\,holosericea$",stem segment,Diffuse porous,NA
83,"Smith $et\;\, al.$ 1995",CHP,"$Acacia\;\,holosericea$",without roots,Diffuse porous,NA
84,"Smith $et\;\, al.$ 1995",CHP,"$Acacia\;\,nilotica$",stem segment,Diffuse porous,NA
85,"Smith $et\;\, al.$ 1995",CHP,"$Azadirachta\;\,indica$",stem segment,Diffuse porous,NA
86,"Smith $et\;\, al.$ 1995",CHP,"$Azadirachta\;\,indica$",without roots,Diffuse porous,NA
87,"Sperling $et\;\, al.$ 2012",TD,"$Phoenix\;\,datylifera$",whole plant,Monocot,60
88,"Steppe $et\;\, al.$ 2010",CHP,"$Fagus\;\,grandifolia$",stem segment,Diffuse porous,18
89,"Steppe $et\;\, al.$ 2010",HFD,"$Fagus\;\,grandifolia$",stem segment,Diffuse porous,18.125
90,"Steppe $et\;\, al.$ 2010",TD,"$Fagus\;\,grandifolia$",stem segment,Diffuse porous,18
91,"Sun $et\;\, al.$ 2012",TD,"$Liquidambar\;\,styraciflua$",without roots,Diffuse porous,7.5
92,"Sun $et\;\, al.$ 2012",TD,"$Pinus\;\,echinata$",without roots,Tracheids,7.5
93,"Sun $et\;\, al.$ 2012",TD,"$Pinus\;\,taeda$",without roots,Tracheids,7.5
94,"Sun $et\;\, al.$ 2012",TD,"$Populus\;\,deltoides$",without roots,Diffuse porous,7.5
95,"Sun $et\;\, al.$ 2012",TD,"$Quercus\;\,alba$",without roots,Ring porous,7.5
96,"Sun $et\;\, al.$ 2012",TD,"$Ulmus\;\,americana$",without roots,Ring porous,7.5
97,Swanson and Whitfield 1981,CHP,"$Nothofagus\;\,solandri$",whole plant,Diffuse porous,11
98,Swanson and Whitfield 1981,CHP,"$Pinus\;\,radiata$",whole plant,Tracheids,5
99,"Urban $et\;\, al.$ 2012",SHB,"$Humulus\;\,lupulus$",without roots,Ring porous,NA
100,"Vellame $et\;\, al.$ 2010",SHB,"$Citrus\;\,sinensis$",whole plant,Diffuse porous,1.4
