si_code,lon,lat,MAT,MAP,BIO_4,BIO_5,BIO_6,BIO_13,BIO_14,BIO_15
ARG_MAZ,-72.28639,-51.57944,40.34818139939112,471.58452609946437,3329.841267135808,112.50938282714381,-29.638119638999356,53.638119638999356,29.8202677777273,16.99758408354476
ARG_TRE,-72.185,-51.31667,47.516285248065415,442.3418037401507,3499.1547027202114,124.36308387065306,-25.63691612934694,51.80043318319939,25.483714751934574,21.16351705385245
AUS_BRI_BRI,145.84972,-37.870556,128.65522830972262,1019.2046485691002,3598.820341232033,232.16427561960361,52.655228309722624,110.11937732117515,50.43260937370934,20.415156765964838
AUS_CAN_ST1_EUC,149.17,-37.58,148.15262511148998,1083.5599169816517,3321.6035825561385,233.15262511148998,74.15262511148998,111.38230469146214,66.60477811608794,14.00679634259497
AUS_CAN_ST2_MIX,149.17,-37.58,148.15262511148998,1083.5599169816517,3321.6035825561385,233.15262511148998,74.15262511148998,111.38230469146214,66.60477811608794,14.00679634259497
AUS_CAN_ST3_ACA,149.17,-37.58,148.15262511148998,1083.5599169816517,3321.6035825561385,233.15262511148998,74.15262511148998,111.38230469146214,66.60477811608794,14.00679634259497
AUS_CAR_THI_00F,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_0P0,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_0PF,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_CON,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_T00,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_T0F,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_TP0,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_CAR_THI_TPF,146.683,-38.383,113.8479746749416,1014.2789349468909,3046.9484135343428,196.3711511870387,51.07990329265515,101.6466190338609,57.10567230086419,14.71642739287775
AUS_ELL_HB_HIG,146.582,-36.785,119.21444388894884,1082.5513873473128,4793.552314360512,247.857620449527,20.85762044952697,120.1516637712733,61.426962257931955,21.83707346145846
AUS_ELL_MB_MOD,146.582,-36.785,119.21444388894884,1082.5513873473128,4793.552314360512,247.857620449527,20.85762044952697,120.1516637712733,61.426962257931955,21.83707346145846
AUS_ELL_UNB,146.581,-36.785,118.77244695397167,1087.539528439717,4792.9463235584635,247.53562351503018,20.535623515030164,120.73968217437981,61.74296839278114,21.875076528402698
AUS_KAR,118.218654,-22.623701,238.24729773416962,362.650585041797,5407.559569210592,365,93,86.91728919567177,2.9999999999999996,87.7552898250199
AUS_MAR_HSD_HIG,145.581,-37.643,129.87084661338355,1164.955907913101,3841.2246236787796,239.37988857354028,49.37988857354029,129.05247666191656,51.777574416987505,25.607912146298116
